meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Zhang23,1421,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,5.18,6.01,0.06,4,6.16,0.14,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.581966545311849,-0.131353977969658,-0.0195072908543487
Zhang23,1422,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,5.18,5.06,0.08,4,5.13,0.14,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.581966545311849,-0.131353977969658,-0.0195072908543487
Zhang23,1423,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,10.5,6.01,0.06,4,6.19,0.12,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.291384312835356,-0.131353977969658,-0.0195072908543487
Zhang23,1424,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,10.5,5.06,0.08,4,5.16,0.18,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.291384312835356,-0.131353977969658,-0.0195072908543487
Zhang23,1425,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,10.7,6.01,0.06,4,6.02,0.08,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.280460168757293,-0.131353977969658,-0.0195072908543487
Zhang23,1426,29.14,120.04,field,rice,grain,rainfed,1350,225,150,100,80,silt loam,1.12,6.16,9.5,0.95,9.8,489.6,9.8,10.7,5.06,0.08,4,5.1,0.1,4,26.03333333,27.43333333,26.03333333,27.43333333,1.95882103030832,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.657261304785276,0.134337612961783,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.280460168757293,-0.131353977969658,-0.0195072908543487
Zhang23,1427,44.56,-123.28,field,wheat,grain,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,0.5,5.01,0.433878727296004,3,5.56,0.481510124504148,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.837591516738537,0.388064651280575,-1.70567534308891
Zhang23,1428,44.56,-123.28,field,wheat,grain,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,1,5.01,0.433878727296004,3,5.95,0.515285115251741,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.810281156543378,0.388064651280575,-1.70567534308891
Zhang23,1429,44.56,-123.28,field,wheat,grain,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,2,5.01,0.433878727296004,3,5.99,0.518749216866879,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.75566043615306,0.388064651280575,-1.70567534308891
Zhang23,1430,44.56,-123.28,field,pea,legumes,rainfed,1119,225,150,100,80,silty clay loam,1.15,5.01,9.5,0.95,9.8,489.6,9.8,0.5,5.01,0.433878727296004,3,5.56,0.481510124504148,3,29.86666667,4.8,29.86666667,4.8,1.50720488053419,-0.163822089599319,0.0719934954700418,-0.0795380891475413,0.0276788189846192,-0.487546933570486,-0.788747647069537,-0.107201101160611,-0.0566337102282614,0.160110606258746,-0.089863895483695,0.0119331355124877,-0.837591516738537,0.388064651280575,-1.70567534308891
