meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,234,9.7167,77.7667,field,sorghum,grain,rainfed,606,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,9.8,489.6,9.8,15,5.41665,0.3042968368,3,5.9722,0.25595688594,3,33.66666667,41.83333333,33.66666667,41.83333333,2.42760020021176,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,0.347663357835925,-0.0250142522723516,-0.0507322404547346,-0.206246938275006,1.92779848072463,1.72636470658282
Han22,235,9.7167,77.7667,field,sorghum,grain,rainfed,606,225,100,100,80,sandy clay loam,1.47,8.5,3.2,0.95,7.8,119.9,12.4,15,3.02778,0.09609352552,3,5.3889,0.08775684218,3,33.66666667,41.83333333,33.66666667,41.83333333,2.42760020021176,-0.117688979385354,-1.21166594751978,-0.222728688982165,-0.0750070913816009,1.46728152184095,1.25890243503374,-1.51888783507318,-0.0408011328836875,-2.23746376436311,-5.81349177407435,1.27761686961654,-0.206246938275006,1.92779848072463,1.72636470658282
Han22,236,32.6667,78.8,field,knol khol,vegetable,rainfed,26.37385109,225,197.1,100,19.28,sandy clay loam,1.33,7.4,6.4,0.95,8.9,489.6,9.8,10,92.3181126331811,0.1311378513,3,95.142567224759,0.12342492505,3,22.96666667,44.3,22.96666667,44.3,-0.87118444892819,-0.117688979385354,-0.190906933067194,-0.222728688982165,-1.92188769746524,0.00293260797170196,0.459982304348058,-0.812293999675965,-0.0408011328836875,-0.815643847153638,-0.0250142522723516,-0.0507322404547346,-0.536333353140063,-0.800582735479132,2.03707203415096
Han22,237,32.6667,78.8,field,knol khol,vegetable,rainfed,26.37385109,225,196.7,100,19.28,sandy clay loam,1.33,7.4,6.4,0.95,8.9,489.6,9.8,10,62.178952719878,0.0881459342,3,65.0101677681749,0.084164128125,3,22.96666667,44.3,22.96666667,44.3,-0.87118444892819,-0.117688979385354,-0.195111913559275,-0.222728688982165,-1.92188769746524,0.00293260797170196,0.459982304348058,-0.812293999675965,-0.0408011328836875,-0.815643847153638,-0.0250142522723516,-0.0507322404547346,-0.536333353140063,-0.800582735479132,2.03707203415096
Han22,238,32.6667,78.8,field,knol khol,vegetable,rainfed,26.37385109,225,197.9,100,19.28,sandy clay loam,1.33,7.4,6.4,0.95,8.9,489.6,9.8,10,92.8014148559879,0.1323594378,3,99.7524002021223,0.12993032675,3,22.96666667,44.3,22.96666667,44.3,-0.87118444892819,-0.117688979385354,-0.182496972083032,-0.222728688982165,-1.92188769746524,0.00293260797170196,0.459982304348058,-0.812293999675965,-0.0408011328836875,-0.815643847153638,-0.0250142522723516,-0.0507322404547346,-0.536333353140063,-0.800582735479132,2.03707203415096
Han22,239,32.6667,78.8,field,knol khol,vegetable,rainfed,26.37385109,225,395,100,19.28,sandy clay loam,1.33,7.4,6.4,0.95,8.9,489.6,9.8,10,47.5162025316456,0.1352674623,3,55.593417721519,0.14453128095,3,22.96666667,44.3,22.96666667,44.3,-0.87118444892819,-0.117688979385354,1.88950716538972,-0.222728688982165,-1.92188769746524,0.00293260797170196,0.459982304348058,-0.812293999675965,-0.0408011328836875,-0.815643847153638,-0.0250142522723516,-0.0507322404547346,-0.536333353140063,-0.800582735479132,2.03707203415096
Han22,244,35.2,107.7333,field,wheat,grain,rainfed,262.6,225,180,90,80,clay,1.3,8.4,9.92,0.95,9.9,505.4,9.8,15,21.7865,1.256122444,3,25.7080555555556,1.35363195722222,3,26.26666667,23.03333333,26.26666667,23.03333333,0.473232457064008,-0.117688979385354,-0.370669849103642,-0.373938775511589,-0.0750070913816009,-0.31085644500028,1.18627333224413,-0.0350407807390323,-0.0408011328836875,0.476919713945876,0.222369964239608,-0.0507322404547346,-0.206246938275006,0.0408806302659526,-0.641728976006657
Han22,245,35.2,107.7333,field,wheat,grain,rainfed,262.6,225,180,90,80,clay,1.3,8.4,9.92,0.95,9.9,505.4,9.8,30,31.8082777777778,1.256122444,3,35.7298333333333,1.88131864433333,3,26.26666667,23.03333333,26.26666667,23.03333333,0.473232457064008,-0.117688979385354,-0.370669849103642,-0.373938775511589,-0.0750070913816009,-0.31085644500028,1.18627333224413,-0.0350407807390323,-0.0408011328836875,0.476919713945876,0.222369964239608,-0.0507322404547346,0.784012306320164,0.0408806302659526,-0.641728976006657
Han22,246,35.2,107.7333,field,wheat,grain,rainfed,262.6,225,180,90,80,clay,1.3,8.4,9.92,0.95,9.9,505.4,9.8,45,21.7865,1.256122444,3,24.4008888888889,1.28480440355556,3,26.26666667,23.03333333,26.26666667,23.03333333,0.473232457064008,-0.117688979385354,-0.370669849103642,-0.373938775511589,-0.0750070913816009,-0.31085644500028,1.18627333224413,-0.0350407807390323,-0.0408011328836875,0.476919713945876,0.222369964239608,-0.0507322404547346,1.77427155091533,0.0408806302659526,-0.641728976006657
Han22,247,35.2,107.7333,field,wheat,grain,rainfed,234.6,225,180,90,80,clay,1.3,8.4,9.92,0.95,9.9,505.4,9.8,15,31.8082777777778,1.83393806355556,3,37.0370555555555,1.95014912322222,3,26.26666667,23.03333333,26.26666667,23.03333333,0.313878069154465,-0.117688979385354,-0.370669849103642,-0.373938775511589,-0.0750070913816009,-0.31085644500028,1.18627333224413,-0.0350407807390323,-0.0408011328836875,0.476919713945876,0.222369964239608,-0.0507322404547346,-0.206246938275006,0.0408806302659526,-0.641728976006657
