meta_analytical_study,studyid,sources,country,lat,lon,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yi,vi
Liu22,374,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,6.21,4.31,1.2,9.85,585,8.45,40,7850,260,3,8170,0.13,3,1.38877418590541,0.827391144953102
Liu22,375,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,20,5600,160,3,5830,0.6,3,1.62203364781581,0.885916096220555
Liu22,376,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,40,5600,160,3,5860,0.52,3,1.83360646282165,0.946842721708443
Liu22,377,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,20,6370,360,3,6600,0.6,3,0.72090791105073,0.709975684684627
Liu22,378,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,40,6370,360,3,7280,0.81,3,2.85228456365527,1.34462726933884
Liu22,379,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,20,6670,140,3,6630,0.13,3,-0.322393908750354,0.675328152699944
Liu22,380,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,0,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,40,6670,140,3,6800,0.18,3,1.04777978913841,0.75815354054391
Liu22,381,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,20,7920,290,3,8330,0.14,3,1.59529449861797,0.87874704477673
Liu22,382,Qu et al. (2012),unknown,unknown,unknown,rice,grain,unknown,421,225,240,100,80,unknown,1.36,4.89,4.31,1.2,9.85,585,8.45,40,7920,290,3,8550,0.18,3,2.45130599425918,1.16740842312425
Liu22,383,Liu et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,unknown,1.36,6.15,4.31,1.2,9.8,585,8.45,5.18,5450,220,3,5710,0.16,3,1.333538662987,0.814860447140096
Liu22,384,Liu et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,unknown,1.36,6.16,4.31,1.2,10.2,585,8.45,10.5,5450,220,3,6030,0.25,3,2.97481588343845,1.40412746169647
Liu22,385,Liu et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,180,100,80,unknown,1.36,6.16,4.31,1.2,9.8,585,8.45,5.18,8320,300,3,8690,0.24,3,1.39166719408437,0.828061464924222
Liu22,386,Liu et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,180,100,80,unknown,1.36,6.16,4.31,1.2,10.2,585,8.45,10.5,8320,300,3,9030,0.35,3,2.67049554470609,1.26096220452459
Liu22,387,Zhang et al. (2010),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,10,9100,630,3,9900,0.22,3,1.43286234704175,0.837757875464166
Liu22,388,Zhang et al. (2010),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,40,9100,630,3,10200,0.36,3,1.97018552564671,0.990135917122316
Liu22,389,Zhang et al. (2010),unknown,unknown,unknown,rice,grain,irrigation,421,225,0,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,10,8600,380,3,9600,0.19,3,2.96941848960038,1.40145384719838
Liu22,390,Zhang et al. (2010),unknown,unknown,unknown,rice,grain,irrigation,421,225,0,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,40,8600,380,3,9800,0.26,3,3.56330179886404,1.72475997581564
Liu22,393,Pandey et al. (2014),unknown,unknown,unknown,rice,grain,irrigation,421,225,100,100,80,unknown,1.36,5.7,4.31,1.2,10.1,585,8.45,6.7,5250,700,3,4950,0.36,3,-0.483591007659923,0.686155021890795
Liu22,394,Pandey et al. (2014),unknown,unknown,unknown,rice,grain,irrigation,421,225,100,100,80,unknown,1.36,5.7,4.31,1.2,10.1,585,8.45,6.7,5570,860,3,5420,0.31,3,-0.196810307055958,0.669894524746955
Liu22,395,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,210,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,1.78,7240,320,3,8230,0.16,3,3.49092261183644,1.68221172348591
Liu22,396,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,210,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,14.8,7240,320,3,7500,0.02,3,0.916808071474463,0.736711419993394
Liu22,397,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,210,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,29.6,7240,320,3,7590,0.14,3,1.23416459589731,0.793596854147198
Liu22,398,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,0,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,1.78,5510,140,3,5650,0.03,3,1.12837914118885,0.772769957189174
Liu22,399,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,0,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,14.8,5510,140,3,5670,0.03,3,1.28957616135868,0.805250556328717
Liu22,400,Sui et al. (2016),unknown,unknown,unknown,rice,grain,flooded,421,225,0,100,80,sand,1.36,6.7,4.31,1.2,9.1,585,8.45,29.6,5510,140,3,5270,0.2,3,-1.93436231261136,0.978479796370932
Liu22,401,Mehmood et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,clay,1.36,5.9,4.31,1.2,9.8,585,8.45,4.839,6606,447,4,7404,0.415,4,2.19302381273105,0.80058459020034
Liu22,402,Mehmood et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,clay,1.36,5.9,4.31,1.2,9.8,585,8.45,4.839,6894,414.5,4,7500,0.415,4,1.79595742891106,0.701591442903801
Liu22,403,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,irrigation,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,2297.3,81.08,3,2405.41,108.1,3,0.902766796676106,0.734582324098403
Liu22,404,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,unknown,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,1945.95,108.1,3,2351.35,108.11,3,2.99211322883778,1.4127284645155
Liu22,405,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,flooded,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,2162.16,108.11,3,2783.78,108.11,3,4.58774397082858,2.4206162284895
Liu22,406,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,irrigation,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,3297.3,189.19,3,3648.65,189.19,3,1.48177356328604,0.849637741071118
Liu22,407,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,unknown,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,2648.64,189.19,3,3081.08,189.19,3,1.8237602382451,0.943841783883653
Liu22,408,Mohamed et al. (2019),unknown,unknown,unknown,rice,grain,flooded,421,225,40,100,80,sand,1.36,4.6,4.31,1.2,9.81,585,8.45,3.333,3594.59,162.17,3,3783.78,162.17,3,0.930824320517322,0.738869492972211
Liu22,409,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,10,7600,330,3,8300,0.1,3,2.3935314566704,1.14408273617256
Liu22,410,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,20,7600,330,3,8400,0.26,3,2.73546379848075,1.29023018273323
Liu22,411,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,40,7600,330,3,8500,0.36,3,3.07739589726513,1.45586379237535
Liu22,412,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,10,7600,190,3,9700,0.33,3,12.4715404043282,13.6282766713992
Liu22,413,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,20,7600,190,3,8300,0.13,3,4.15718543200804,2.10684922634166
Liu22,414,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,irrigation,421,225,300,100,80,unknown,1.36,6.5,4.31,1.2,10.4,585,8.45,40,7600,190,3,9300,1.34,3,10.095773049848,9.16038612283646
Liu22,416,Liu et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,144,100,80,unknown,1.36,5.88,4.31,1.2,9.04,585,8.45,15,6145.1,130.2,3,6468.4,288,3,1.15421477035294,0.77768431134174
Liu22,417,Liu et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,108,100,80,unknown,1.36,5.88,4.31,1.2,9.01,585,8.45,15,6043,236.1,3,6756.7,460.2,3,1.55699329886707,0.868685677726413
Liu22,418,Liu et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,144,100,80,unknown,1.36,5.88,4.31,1.2,9.04,585,8.45,15,7582.8,161.3,3,9457.9,168.1,3,9.08193473885507,7.54012821673522
Liu22,419,Liu et al. (2020),unknown,unknown,unknown,rice,grain,flooded,421,225,108,100,80,unknown,1.36,5.88,4.31,1.2,9.01,585,8.45,15,8762.8,172.4,3,8207.1,215.3,3,-2.27338007534381,1.09735474724752
Liu22,420,Ran et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,210,100,80,silt,1.36,10.1,4.31,1.2,7.94,585,8.45,33.75,2650,160,3,6470,0.25,3,26.9400197286592,61.1470552483787
Liu22,421,Ran et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,210,100,80,silt,1.36,10.1,4.31,1.2,7.94,585,8.45,67.5,2650,160,3,6710,0.68,3,28.6323627801899,68.9843498647005
Liu22,422,Ran et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,210,100,80,silt,1.36,10.1,4.31,1.2,7.94,585,8.45,101.25,2650,160,3,6510,0.28,3,27.2221057223618,62.4202533299534
Liu22,423,n et al. (2020),unknown,unknown,unknown,rice,grain,irrigation,421,225,270,100,80,silt,1.36,5.1,4.31,1.2,9.8,585,8.45,2.8,9830,880,3,8560,0.08,3,-1.62845629123823,0.887655824372781
Liu22,424,Rong et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,181,100,80,unknown,1.36,4.67,4.31,1.2,9.21,585,8.45,20,8390,1108.54,3,8880,0.83305,3,0.498769224165251,0.687397561581201
Liu22,425,Rong et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,181,100,80,unknown,1.36,4.67,4.31,1.2,9.21,585,8.45,20,8390,1108.54,3,9200,1.0928,3,0.824495896620388,0.723316123628655
Liu22,426,Rong et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,181,100,80,unknown,1.36,4.67,4.31,1.2,9.21,585,8.45,20,8390,1108.54,3,9800,0.394299999999999,3,1.43523420441214,0.838324768459546
Liu22,427,Rong et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,181,100,80,unknown,1.36,4.67,4.31,1.2,9.21,585,8.45,20,8390,1108.54,3,10200,0.834800000000001,3,1.8423924380959,0.94953415799608
Liu22,428,Rong et al. (2020),unknown,unknown,unknown,rice,grain,unknown,421,225,181,100,80,unknown,1.36,4.67,4.31,1.2,9.21,585,8.45,20,8390,1108.54,3,10380,1.164,3,2.02561324321456,1.00859241759052
Liu22,432,Xiao et al. (2018),unknown,unknown,unknown,rice,grain,irrigation,421,225,292.8,100,80,unknown,1.36,7.4,4.31,1.2,10.1,585,8.45,20,5371,584,3,6662,199,3,2.36110005491942,1.13123278911171
Liu22,433,Xiao et al. (2018),unknown,unknown,unknown,rice,grain,irrigation,421,225,292.8,100,80,unknown,1.36,7.4,4.31,1.2,10.1,585,8.45,40,5371,584,3,7321,843,3,2.14557006543189,1.05028924213978
Liu22,434,Dong et al. (2013),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,sand,1.36,5.2,4.31,1.2,10.2,585,8.45,22.5,10510,510,3,11940,0.52,3,3.16388503962173,1.50084737866185
Liu22,435,Dong et al. (2013),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,sand,1.36,5.2,4.31,1.2,9.81,585,8.45,22.5,10510,510,3,10950,0.11,3,0.973503572497257,0.74564243380541
Liu22,436,Dong et al. (2013),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,sand,1.36,5.2,4.31,1.2,10.2,585,8.45,22.5,9500,150,3,10098,0.332,3,4.49846059420493,2.35301230980121
Liu22,437,Dong et al. (2013),unknown,unknown,unknown,rice,grain,flooded,421,225,150,100,80,sand,1.36,5.2,4.31,1.2,9.81,585,8.45,22.5,9500,150,3,9840,0.4,3,2.55765035156475,1.21179794340494
Liu22,438,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,flooded,421,225,0,100,80,unknown,1.36,5.99,4.31,1.2,10.4,585,8.45,20,8380,90,3,8180,0.06,3,-2.50750870298816,1.19063332463011
Liu22,439,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,flooded,421,225,0,100,80,unknown,1.36,5.99,4.31,1.2,10.4,585,8.45,40,8380,90,3,8290,0.02,3,-1.1283791392343,0.772769956821595
Liu22,440,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,flooded,421,225,240,100,80,unknown,1.36,5.99,4.31,1.2,10.4,585,8.45,20,9040,60,3,9000,0.09,3,-0.752251931780728,0.713823580738986
Liu22,441,Zhang et al. (2012),unknown,unknown,unknown,rice,grain,flooded,421,225,240,100,80,unknown,1.36,5.99,4.31,1.2,10.4,585,8.45,40,9040,60,3,9100,0.15,3,1.12837564092714,0.772769298919812
