meta_analytical_study,no.,sources,year_of_experiment,country,lat,lon,experiment_type,crop,crop_type,water_magement,rainfallmm,irrigation_amountmm,n_fertilizerkg_ha,p_fertilizerkg_ha,k_fertilizerkg_ha,soil_texture,bulk_densityg_cm3,s_phwater,s_socg_kg,s_tng_kg,s_c:n,b_phwater,b_totalcg_kg,b_totalng_kg,b_c:n,biochar_ratet_ha,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n
,47,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,678,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,5.1,,4.025,,8,4900,322.846,4,5000,299.21,4,163.33333333333,9.41714666666667,4,166.666666666667,8.77566666666667,4,,,,,,,,,,,,,,,,,,
,48,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,867,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,9.4,,,,5,22200,1462.6914,4,17900,1071.1718,4,740,42.66544,4,596.666666666667,31.4168866666667,4,,,,,,,,,,,,,,,,,,
,49,Cabrera et al.(2017),,America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,867,,30,7.5,15,sandy loam,,6,20,0.638,31.3479623824451,5.1,,4.025,,8,22200,1462.6914,4,17800,1065.1876,4,740,42.66544,4,593.333333333333,31.2413733333333,4,,,,,,,,,,,,,,,,,,
,50,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,680.5,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,7683,76,3,8475,188,3,53.3541666666667,3.07618783333333,3,58.8541666666667,3.09890729166667,3,,,,,,,,,,,,,,,,,,
,51,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,799.8,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,7805.7,87.4,3,8689.5,259.9,3,54.20625,3.12531555,3,60.34375,3.1773398125,3,,,,,,,,,,,,,,,,,,
,52,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,875.4,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,7885.5,92.3,3,8739,31.5,3,54.7604166666667,3.15726658333333,3,60.6875,3.195439625,3,,,,,,,,,,,,,,,,,,
,53,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,799.8,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,8300.8,138.3,3,9721.1,200.1,3,57.6444444444444,3.32354808888889,3,67.5076388888889,3.55454721805556,3,,,,,,,,,,,,,,,,,,
,54,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,875.4,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,8522.5,194.3,3,9820.5,134.3,3,59.1840277777778,3.41231430555556,3,68.1979166666667,3.59089310416667,3,,,,,,,,,,,,,,,,,,
,55,Cao et al. (2021),,China,30.05,199.95,field,rice,grain,irrigation and rain,680.5,,144,120,60,clay,,,34.9,18.7,1.86631016042781,,,,,1.8,8136,227,3,9492,151,3,56.5,3.257564,3,65.9166666666667,3.47077616666667,3,,,,,,,,,,,,,,,,,,
,56,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,200,100,100,100,sandy loam,,,15.76,,,,16.8,,,10,7.32,0.11,3,8.26,0.9,3,73.2,0.86,3,82.6,0.6,3,,,,,,,,,,,,,,,,,,
,57,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,200,200,100,100,sandy loam,,,10.76,,,,16.8,,,5,7.11,0.11,3,7.43,0.05,3,35.55,0.86,3,37.12,0.68,3,,,,,,,,,,,,,,,,,,
,58,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,irrigation,,200,200,100,100,sandy loam,,,14.76,,,,16.8,,,10,7.11,0.19,3,8.02,0.12,3,35.55,1.27,3,40.1,0.71,3,,,,,,,,,,,,,,,,,,
,59,Cao et al. (2022),,China,31.95,118.83329999999999,field,maize,grain,rainfed,,400,100,100,100,sandy loam,,,17.76,,,,16.8,,,15,8.23,0.11,3,8.26,0.27,3,82.3,0.86,3,82.6,0.99,3,,,,,,,,,,,,,,,,,,
