moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
bc dose,high,,,44.5128205128205,4.15270128404898,32,,55.8224914171516,,,,,,,,2.78533979129141,,,,,,
bc dose,high,,,60.5128205128205,4.68842030226344,30,,55.8224914171516,,,,,,,,2.78533979129141,,,,,,
bc dose,high,,,67.4452554744525,14.7834743653559,20,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
bc dose,high,,,70.0729927007299,26.9910403185663,22,,,,21.1199049271508,,,,,,,,0.514036445936754,,,,
bc dose,high,,,73.2307692307692,6.2725909275538,23,,55.8224914171516,,,,,,,,2.78533979129141,,,,,,
bc dose,high,crop type,grain,12.78,1.44373694359634,108,,,,12.78,,,,,,,,1.44373694359634,,,,
bc dose,high,crop type,grain,13.7457044673539,1.72644815501957,66,16.4055836064908,,,,,,,,1.57096772404575,,,,,,,
bc dose,high,crop type,grain,29.2096219931271,3.78787878787878,15,16.4055836064908,,,,,,,,1.57096772404575,,,,,,,
bc dose,high,soil texture,coarse,-9.36026936026936,0.93077771649199,8,,,,,-7.75144417305623,,,,,,,,0.554024540364549,,,
bc dose,high,soil texture,coarse,-6.86868686868686,0.68946497517926,6,,,,,-7.75144417305623,,,,,,,,0.554024540364549,,,
bc dose,high,soil texture,coarse,5.65022421524663,1.05243891278484,15,,,,,,5.65022421524663,,,,,,,,1.05243891278484,,
bc dose,high,soil texture,fine,-9.69696969696969,1.15485383342524,10,,,,,-9.47369801328037,,,,,,,,0.965241747628123,,,
bc dose,high,soil texture,fine,-8.95622895622895,1.75813568670711,4,,,,,-9.47369801328037,,,,,,,,0.965241747628123,,,
bc dose,high,soil texture,fine,4.57399103139013,1.18971355358287,3,,,,,,4.57399103139013,,,,,,,,1.18971355358287,,
bc dose,high,soil texture,medium,-5.99326599326599,1.1203805846663,8,,,,,-5.88418799281419,,,,,,,,0.75993185806759,,,
bc dose,high,soil texture,medium,-5.79124579124579,1.03419746276889,7,,,,,-5.88418799281419,,,,,,,,0.75993185806759,,,
bc dose,high,soil texture,medium,6.18834080717488,1.73881211677496,4,,,,,,6.18834080717488,,,,,,,,1.73881211677496,,
bc dose,long term,soil texture,coarse,1.1659192825112,1.41850462157957,3,,,,,,1.1659192825112,,,,,,,,1.41850462157957,,
bc dose,long term,soil texture,medium,13.9013452914798,4.1182392239407,1,,,,,,13.9013452914798,,,,,,,,4.1182392239407,,
bc dose,low,,,2.31124807395993,4.19518657540294,16,,,8.5871197346601,,,,,,,,1.9229405628431,,,,,
bc dose,low,,,5.84766584766584,0.661886376172089,126,,,,,,5.84766584766584,,,,,,,,0.661886376172089,,
bc dose,low,,,6.70050761421319,0.492302184031508,84,6.70050761421319,,,,,,,,0.492302184031508,,,,,,,
bc dose,low,,,6.92682926829268,1.09507217521155,38,,,,,,,6.92682926829268,,,,,,,,1.09507217521155,
bc dose,low,,,10.2564102564102,2.16361616279748,84,,,8.5871197346601,,,,,,,,1.9229405628431,,,,,
bc dose,low,,,10.3504043126684,1.16893118433355,88,,,,,,,,10.3504043126684,,,,,,,,1.16893118433355
bc dose,low,,,10.4032258064516,0.528526327658112,84,,,,10.7997237231038,,,,,,,,0.475167732902743,,,,
bc dose,low,,,12.4373956594323,1.16265203911281,113,,,,10.7997237231038,,,,,,,,0.475167732902743,,,,
bc dose,low,,,12.7007299270073,3.0238924838228,22,,,,10.7997237231038,,,,,,,,0.475167732902743,,,,
bc dose,low,,,15.7948717948717,1.92761492268176,95,,15.7948717948717,,,,,,,,1.92761492268176,,,,,,
bc dose,low,crop type,grain,9.19732441471572,1.45629117788847,109,,,,9.19732441471572,,,,,,,,1.45629117788847,,,,
bc dose,low,crop type,grain,9.45017182130584,1.44300144300144,102,9.45017182130584,,,,,,,,1.44300144300144,,,,,,,
bc dose,low,soil texture,coarse,-21.0762331838565,3.02004209755651,17,,,,,,-21.0762331838565,,,,,,,,3.02004209755651,,
bc dose,low,soil texture,coarse,-10.6397306397306,0.999724214009921,30,,,,,-10.6397306397306,,,,,,,,0.999724214009921,,,
bc dose,low,soil texture,fine,-6.26262626262626,0.827357970215112,14,,,,,-6.26262626262626,,,,,,,,0.827357970215112,,,
bc dose,low,soil texture,fine,-2.95964125560538,1.18971355358287,3,,,,,,-2.95964125560538,,,,,,,,1.18971355358287,,
bc dose,low,soil texture,medium,-4.78114478114478,0.775648097076668,10,,,,,-4.78114478114478,,,,,,,,0.775648097076668,,,
bc dose,med,,,6.14634146341463,1.24440019910403,42,,,,,,,6.14634146341463,,,,,,,,1.24440019910403,
