studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,yi,vi
1080,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,silt loam,1.44,4.4000000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.22222222222222,3.2,0.0554256258422041,4,2.61,0.0452065260775477,4,g/plant,-0.59,0.0012789075
1081,-27.48,153.02000000000001,pot,sweet potato,tubers,unknown,1026,200,195,100,80,loam,1.44,4.4000000000000004,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,4.44444444444444,3.2,0.0554256258422041,4,3.93,0.0680695967374569,4,g/plant,0.73,0.0019263675
1082,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.759375,1830,316.965297785105,3,2230,386.24733008786,3,kg/ha/yr,400,83218
1083,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.51875,1830,316.965297785105,3,2460,426.084498661944,3,kg/ha/yr,630,94005
1084,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.278125,1830,316.965297785105,3,2540,439.940905122495,3,kg/ha/yr,710,98005
1085,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.0375,1830,316.965297785105,3,2240,387.979380895429,3,kg/ha/yr,410,83665
1086,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.8175,1830,316.965297785105,3,1740,301.376840516985,3,kg/ha/yr,-90,63765
1087,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.635,1830,316.965297785105,3,2250,389.711431702997,3,kg/ha/yr,420,84114
1088,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.4525,1830,316.965297785105,3,2320,401.835787355979,3,kg/ha/yr,490,87313
1089,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3.27,1830,316.965297785105,3,2240,387.979380895429,3,kg/ha/yr,410,83665
1090,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.75,1830,316.965297785105,3,2360,408.763990586255,3,kg/ha/yr,530,89185
1091,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.5,1830,316.965297785105,3,2430,420.888346239237,3,kg/ha/yr,600,92538
1092,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,Silty Clay Loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.25,1830,316.965297785105,3,2350,407.031939778686,3,kg/ha/yr,520,88714
1093,31.06,119.11,field,rapeseed,industrial,unknown,1026,200,195,100,80,silty clay loam,1.44,4.8,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,3,1830,316.965297785105,3,1850,320.429399400242,3,kg/ha/yr,20,67714
1104,-43.64,172.46,pot,pasture,others,unknown,1026,200,195,100,80,sandy clay loam,1.44,4.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,1.215,0.12,0.0103923048454133,3,0.52,0.0450333209967908,3,g/pot,0.4,0.000712
1105,-43.64,172.46,pot,pasture,others,unknown,1026,200,195,100,80,sandy clay loam,1.44,4.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,2.32875,0.12,0.0103923048454133,3,0.6,0.0519615242270663,3,g/pot,0.48,0.000936
1106,-43.64,172.46,pot,pasture,others,unknown,1026,200,195,100,80,sandy clay loam,1.44,4.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,4.05,0.12,0.0103923048454133,3,0.77,0.0666839560914018,3,g/pot,0.65,0.00151825
1108,26.08,119.24,field,tobacco,others,unknown,1026,200,195,100,80,loam,1.44,5.2,8.54,0.76,11.7142857142857,9.42,471.7,8.46,60.5527123848516,0.6675,2095,181.43232209284,3,2247,194.595908230363,3,kg/ha/yr,152,23595.085
